Group,ID,task,profile,selected,tax,emperor,immigrants,childcare,party,age_candidate,gender_candidate,status,temp_Abe
T1_Right,R_03drCEOMuTxotgt,3,1,0,disagree,deny,accept,not improve,CDP,50,female,challenger,46
T1_Right,R_03drCEOMuTxotgt,3,2,1,disagree,approve,refuse,improve,CDP,50,female,challenger,46
T1_Right,R_03drCEOMuTxotgt,4,1,1,disagree,approve,accept,not improve,LDP,50,male,incumbent,46
T1_Right,R_03drCEOMuTxotgt,4,2,0,disagree,deny,accept,improve,JCP,50,male,incumbent,46
T1_Right,R_03drCEOMuTxotgt,5,1,0,agree,approve,refuse,not improve,CDP,70,female,incumbent,46
T1_Right,R_03drCEOMuTxotgt,5,2,1,disagree,approve,refuse,improve,LDP,70,female,incumbent,46
Control,R_03pDjFYI2q0eem5,1,1,0,disagree,deny,refuse,not improve,Komeito,30,male,incumbent,29
Control,R_03pDjFYI2q0eem5,1,2,1,disagree,deny,refuse,improve,CDP,30,male,incumbent,29
Control,R_03pDjFYI2q0eem5,2,1,0,agree,deny,accept,not improve,JCP,60,male,challenger,29
Control,R_03pDjFYI2q0eem5,2,2,1,disagree,approve,refuse,improve,LDP,60,male,challenger,29
Control,R_03pDjFYI2q0eem5,3,1,1,agree,approve,refuse,improve,CDP,30,male,challenger,29
Control,R_03pDjFYI2q0eem5,3,2,0,disagree,deny,accept,improve,Komeito,30,male,challenger,29
Control,R_03pDjFYI2q0eem5,4,1,1,disagree,deny,refuse,not improve,CDP,40,male,incumbent,29
Control,R_03pDjFYI2q0eem5,4,2,0,agree,approve,refuse,not improve,JCP,40,male,incumbent,29
Control,R_03pDjFYI2q0eem5,5,1,0,disagree,approve,accept,not improve,LDP,30,female,incumbent,29
Control,R_03pDjFYI2q0eem5,5,2,1,agree,approve,refuse,not improve,CDP,30,female,incumbent,29
T2_Right,R_06bB7YcoEtTPQCB,1,1,1,disagree,deny,refuse,improve,Komeito,70,male,challenger,70
T2_Right,R_06bB7YcoEtTPQCB,1,2,0,disagree,approve,refuse,improve,CDP,70,male,challenger,70
T2_Right,R_06bB7YcoEtTPQCB,2,1,1,disagree,approve,refuse,not improve,Komeito,50,female,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,2,2,0,disagree,deny,accept,not improve,Komeito,50,female,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,3,1,0,disagree,deny,accept,not improve,Komeito,50,male,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,3,2,1,disagree,approve,accept,improve,Komeito,50,male,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,4,1,0,agree,deny,refuse,not improve,Komeito,40,female,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,4,2,1,agree,approve,refuse,not improve,Komeito,40,female,incumbent,70
T2_Right,R_06bB7YcoEtTPQCB,5,1,0,disagree,approve,accept,improve,JCP,60,female,challenger,70
T2_Right,R_06bB7YcoEtTPQCB,5,2,1,disagree,deny,refuse,improve,Komeito,60,female,challenger,70
T1_Right,R_09f6kSGYozMBWFj,1,1,1,agree,approve,accept,not improve,CDP,30,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,1,2,0,agree,deny,accept,improve,LDP,30,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,2,1,0,disagree,deny,refuse,improve,Komeito,70,male,incumbent,0
T1_Right,R_09f6kSGYozMBWFj,2,2,1,disagree,deny,accept,improve,Komeito,70,male,incumbent,0
T1_Right,R_09f6kSGYozMBWFj,3,1,1,agree,approve,accept,not improve,Komeito,30,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,3,2,0,disagree,approve,refuse,improve,JCP,30,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,4,1,1,agree,approve,refuse,not improve,CDP,40,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,4,2,0,agree,deny,accept,not improve,CDP,40,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,5,1,0,agree,deny,refuse,improve,CDP,50,male,challenger,0
T1_Right,R_09f6kSGYozMBWFj,5,2,1,disagree,approve,refuse,improve,Komeito,50,male,challenger,0
T1_Right,R_09z77kiHcJ0OYO5,1,1,0,agree,approve,accept,not improve,LDP,30,male,incumbent,50
T1_Right,R_09z77kiHcJ0OYO5,1,2,1,disagree,deny,accept,not improve,LDP,30,male,incumbent,50
T1_Right,R_09z77kiHcJ0OYO5,2,1,0,disagree,approve,accept,not improve,CDP,70,male,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,2,2,1,disagree,approve,accept,not improve,JCP,70,male,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,3,1,0,agree,deny,accept,not improve,CDP,60,female,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,3,2,1,disagree,deny,refuse,improve,Komeito,60,female,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,4,1,1,disagree,deny,refuse,not improve,LDP,50,female,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,4,2,0,agree,approve,refuse,not improve,Komeito,50,female,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,5,1,0,disagree,approve,accept,not improve,LDP,30,female,challenger,50
T1_Right,R_09z77kiHcJ0OYO5,5,2,1,disagree,deny,refuse,improve,Komeito,30,female,challenger,50
T3,R_0AicGHcPixW1qDf,1,1,0,agree,deny,refuse,not improve,CDP,40,female,incumbent,55
T3,R_0AicGHcPixW1qDf,1,2,1,disagree,deny,refuse,not improve,LDP,40,female,incumbent,55
T3,R_0AicGHcPixW1qDf,2,1,0,agree,deny,accept,not improve,LDP,60,female,incumbent,55
T3,R_0AicGHcPixW1qDf,2,2,1,disagree,approve,refuse,improve,LDP,60,female,incumbent,55
T3,R_0AicGHcPixW1qDf,3,1,1,agree,deny,refuse,improve,Komeito,30,male,challenger,55
T3,R_0AicGHcPixW1qDf,3,2,0,disagree,deny,refuse,not improve,Komeito,30,male,challenger,55
T3,R_0AicGHcPixW1qDf,4,1,1,agree,deny,accept,improve,CDP,30,female,challenger,55
T3,R_0AicGHcPixW1qDf,4,2,0,disagree,deny,refuse,not improve,JCP,30,female,challenger,55
T3,R_0AicGHcPixW1qDf,5,1,0,disagree,deny,accept,not improve,Komeito,40,female,incumbent,55
T3,R_0AicGHcPixW1qDf,5,2,1,disagree,deny,refuse,not improve,Komeito,40,female,incumbent,55
T1_Right,R_0ApiFTWNeomrlHr,1,1,1,agree,approve,refuse,improve,JCP,70,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,1,2,0,agree,deny,accept,not improve,JCP,70,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,2,1,0,agree,deny,refuse,improve,LDP,50,male,challenger,40
T1_Right,R_0ApiFTWNeomrlHr,2,2,1,agree,approve,refuse,improve,JCP,50,male,challenger,40
T1_Right,R_0ApiFTWNeomrlHr,3,1,0,agree,approve,refuse,not improve,Komeito,60,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,3,2,1,disagree,approve,refuse,improve,JCP,60,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,4,1,1,disagree,approve,accept,not improve,CDP,50,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,4,2,0,agree,deny,refuse,not improve,CDP,50,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,5,1,0,disagree,approve,accept,not improve,LDP,70,male,incumbent,40
T1_Right,R_0ApiFTWNeomrlHr,5,2,1,agree,approve,refuse,improve,Komeito,70,male,incumbent,40
T2,R_0BTQ6qDOvI3hJQJ,1,1,0,agree,approve,refuse,improve,JCP,40,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,1,2,1,disagree,deny,accept,not improve,Komeito,40,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,2,1,0,agree,approve,refuse,not improve,CDP,60,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,2,2,1,agree,approve,accept,improve,JCP,60,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,3,1,0,agree,deny,accept,not improve,CDP,70,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,3,2,1,disagree,deny,refuse,improve,LDP,70,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,4,1,1,disagree,approve,accept,not improve,Komeito,70,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,4,2,0,agree,approve,refuse,not improve,CDP,70,female,challenger,55
T2,R_0BTQ6qDOvI3hJQJ,5,1,1,disagree,deny,accept,improve,CDP,60,female,incumbent,55
T2,R_0BTQ6qDOvI3hJQJ,5,2,0,agree,approve,accept,not improve,JCP,60,female,incumbent,55
T3,R_0CUlMHkU68C9X7H,1,1,0,agree,deny,refuse,improve,JCP,40,male,incumbent,50
T3,R_0CUlMHkU68C9X7H,1,2,1,disagree,approve,refuse,improve,JCP,40,male,incumbent,50
T3,R_0CUlMHkU68C9X7H,2,1,1,agree,deny,refuse,improve,LDP,70,male,incumbent,50
T3,R_0CUlMHkU68C9X7H,2,2,0,agree,approve,accept,not improve,JCP,70,male,incumbent,50
T3,R_0CUlMHkU68C9X7H,3,1,0,agree,deny,accept,improve,LDP,60,female,challenger,50
T3,R_0CUlMHkU68C9X7H,3,2,1,agree,deny,accept,improve,JCP,60,female,challenger,50
T3,R_0CUlMHkU68C9X7H,4,1,0,agree,approve,accept,improve,Komeito,50,female,incumbent,50
T3,R_0CUlMHkU68C9X7H,4,2,1,agree,approve,refuse,improve,Komeito,50,female,incumbent,50
T3,R_0CUlMHkU68C9X7H,5,1,1,disagree,approve,refuse,improve,JCP,70,male,incumbent,50
T3,R_0CUlMHkU68C9X7H,5,2,0,agree,deny,refuse,improve,LDP,70,male,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,1,1,0,agree,deny,refuse,not improve,CDP,60,male,challenger,50
T2_Left,R_0e9vfME3exIIT5f,1,2,1,agree,deny,refuse,improve,CDP,60,male,challenger,50
T2_Left,R_0e9vfME3exIIT5f,2,1,0,disagree,approve,accept,improve,CDP,60,female,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,2,2,1,agree,approve,accept,improve,JCP,60,female,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,3,1,1,disagree,approve,accept,improve,CDP,50,male,challenger,50
T2_Left,R_0e9vfME3exIIT5f,3,2,0,disagree,approve,accept,improve,Komeito,50,male,challenger,50
T2_Left,R_0e9vfME3exIIT5f,4,1,1,agree,approve,accept,not improve,LDP,30,female,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,4,2,0,disagree,approve,refuse,improve,CDP,30,female,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,5,1,1,agree,deny,accept,not improve,JCP,70,female,incumbent,50
T2_Left,R_0e9vfME3exIIT5f,5,2,0,agree,deny,refuse,not improve,LDP,70,female,incumbent,50
T1_Right,R_0eaMLSJXoggzXRT,1,1,1,agree,deny,refuse,improve,LDP,60,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,1,2,0,disagree,deny,accept,improve,JCP,60,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,2,1,0,agree,deny,refuse,improve,JCP,60,male,incumbent,65
T1_Right,R_0eaMLSJXoggzXRT,2,2,1,agree,approve,refuse,not improve,Komeito,60,male,incumbent,65
T1_Right,R_0eaMLSJXoggzXRT,3,1,0,agree,deny,refuse,not improve,CDP,30,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,3,2,1,agree,deny,accept,not improve,Komeito,30,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,4,1,0,disagree,deny,accept,not improve,Komeito,50,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,4,2,1,disagree,deny,accept,not improve,Komeito,50,male,challenger,65
T1_Right,R_0eaMLSJXoggzXRT,5,1,0,agree,deny,refuse,improve,Komeito,60,female,incumbent,65
T1_Right,R_0eaMLSJXoggzXRT,5,2,1,disagree,deny,refuse,improve,Komeito,60,female,incumbent,65
T2_Left,R_0eNasrpZDkaDYCl,1,1,0,disagree,approve,accept,not improve,LDP,70,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,1,2,1,agree,deny,accept,not improve,CDP,70,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,2,1,1,agree,deny,refuse,improve,JCP,30,male,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,2,2,0,agree,deny,accept,not improve,JCP,30,male,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,3,1,0,agree,deny,accept,not improve,LDP,30,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,3,2,1,disagree,approve,accept,improve,CDP,30,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,4,1,1,agree,approve,refuse,improve,LDP,70,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,4,2,0,disagree,deny,accept,improve,JCP,70,female,incumbent,0
T2_Left,R_0eNasrpZDkaDYCl,5,1,1,agree,deny,refuse,improve,Komeito,40,male,challenger,0
T2_Left,R_0eNasrpZDkaDYCl,5,2,0,agree,approve,accept,not improve,LDP,40,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,1,1,0,disagree,approve,accept,not improve,Komeito,60,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,1,2,1,disagree,approve,accept,improve,Komeito,60,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,2,1,1,agree,deny,refuse,not improve,Komeito,70,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,2,2,0,disagree,approve,accept,not improve,Komeito,70,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,3,1,1,disagree,deny,refuse,improve,JCP,40,female,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,3,2,0,agree,deny,accept,not improve,LDP,40,female,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,4,1,0,disagree,deny,accept,improve,JCP,70,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,4,2,1,disagree,approve,accept,improve,LDP,70,male,challenger,0
T3_Right,R_0fySlS4VRZC3tv3,5,1,1,disagree,approve,refuse,improve,CDP,40,female,incumbent,0
T3_Right,R_0fySlS4VRZC3tv3,5,2,0,agree,approve,accept,not improve,CDP,40,female,incumbent,0
T2,R_0HcZl75R7JZIKn7,1,1,0,disagree,deny,accept,not improve,Komeito,40,male,challenger,0
T2,R_0HcZl75R7JZIKn7,1,2,1,agree,deny,refuse,not improve,LDP,40,male,challenger,0
T2,R_0HcZl75R7JZIKn7,2,1,0,disagree,approve,accept,improve,LDP,50,female,challenger,0
T2,R_0HcZl75R7JZIKn7,2,2,1,agree,approve,refuse,improve,CDP,50,female,challenger,0
T2,R_0HcZl75R7JZIKn7,3,1,0,disagree,approve,refuse,not improve,Komeito,70,female,incumbent,0
T2,R_0HcZl75R7JZIKn7,3,2,1,disagree,approve,refuse,improve,JCP,70,female,incumbent,0
T2,R_0HcZl75R7JZIKn7,4,1,1,disagree,approve,accept,not improve,Komeito,60,male,incumbent,0
T2,R_0HcZl75R7JZIKn7,4,2,0,agree,deny,refuse,not improve,LDP,60,male,incumbent,0
T2,R_0HcZl75R7JZIKn7,5,1,1,agree,approve,accept,improve,CDP,40,male,challenger,0
T2,R_0HcZl75R7JZIKn7,5,2,0,disagree,approve,accept,improve,CDP,40,male,challenger,0
T2_Right,R_0IfB4UVCBdbukvL,1,1,1,agree,approve,refuse,improve,JCP,50,male,incumbent,25
T2_Right,R_0IfB4UVCBdbukvL,1,2,0,agree,deny,refuse,not improve,CDP,50,male,incumbent,25
T2_Right,R_0IfB4UVCBdbukvL,2,1,0,disagree,deny,accept,improve,LDP,40,female,challenger,25
T2_Right,R_0IfB4UVCBdbukvL,2,2,1,disagree,deny,refuse,improve,LDP,40,female,challenger,25
T2_Right,R_0IfB4UVCBdbukvL,3,1,0,agree,deny,accept,improve,LDP,50,male,challenger,25
T2_Right,R_0IfB4UVCBdbukvL,3,2,1,disagree,approve,accept,improve,Komeito,50,male,challenger,25
T2_Right,R_0IfB4UVCBdbukvL,4,1,1,agree,deny,refuse,improve,LDP,40,male,incumbent,25
T2_Right,R_0IfB4UVCBdbukvL,4,2,0,disagree,approve,accept,improve,LDP,40,male,incumbent,25
T2_Right,R_0IfB4UVCBdbukvL,5,1,1,disagree,deny,accept,improve,Komeito,50,male,challenger,25
T2_Right,R_0IfB4UVCBdbukvL,5,2,0,disagree,deny,refuse,improve,JCP,50,male,challenger,25
T3_Left,R_0iIQ2gNzGI2IGD7,1,1,1,agree,approve,accept,improve,CDP,50,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,1,2,0,agree,approve,refuse,not improve,Komeito,50,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,2,1,1,disagree,deny,accept,improve,CDP,60,male,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,2,2,0,disagree,deny,accept,improve,CDP,60,male,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,3,1,0,disagree,deny,refuse,improve,JCP,60,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,3,2,1,agree,deny,refuse,improve,JCP,60,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,4,1,0,disagree,approve,accept,not improve,Komeito,30,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,4,2,1,agree,deny,accept,not improve,LDP,30,female,incumbent,31
T3_Left,R_0iIQ2gNzGI2IGD7,5,1,0,disagree,deny,refuse,not improve,LDP,50,male,challenger,31
T3_Left,R_0iIQ2gNzGI2IGD7,5,2,1,agree,deny,accept,improve,LDP,50,male,challenger,31
T3_Right,R_0JaePuKlgalm8Xn,1,1,1,disagree,approve,refuse,improve,JCP,60,female,incumbent,55
T3_Right,R_0JaePuKlgalm8Xn,1,2,0,disagree,approve,accept,improve,CDP,60,female,incumbent,55
T3_Right,R_0JaePuKlgalm8Xn,2,1,1,agree,deny,accept,not improve,LDP,30,female,incumbent,55
T3_Right,R_0JaePuKlgalm8Xn,2,2,0,disagree,deny,refuse,improve,JCP,30,female,incumbent,55
T3_Right,R_0JaePuKlgalm8Xn,3,1,1,disagree,deny,refuse,not improve,Komeito,50,female,challenger,55
T3_Right,R_0JaePuKlgalm8Xn,3,2,0,disagree,deny,refuse,improve,CDP,50,female,challenger,55
T3_Right,R_0JaePuKlgalm8Xn,4,1,1,disagree,approve,refuse,improve,LDP,70,male,challenger,55
T3_Right,R_0JaePuKlgalm8Xn,4,2,0,disagree,deny,refuse,not improve,Komeito,70,male,challenger,55
T3_Right,R_0JaePuKlgalm8Xn,5,1,1,agree,approve,refuse,not improve,JCP,50,female,challenger,55
T3_Right,R_0JaePuKlgalm8Xn,5,2,0,disagree,deny,accept,improve,JCP,50,female,challenger,55
T3_Right,R_0JaWr1EUvu52onL,1,1,1,agree,approve,refuse,not improve,CDP,30,male,incumbent,35
T3_Right,R_0JaWr1EUvu52onL,1,2,0,agree,deny,accept,improve,CDP,30,male,incumbent,35
T3_Right,R_0JaWr1EUvu52onL,2,1,0,disagree,deny,accept,improve,LDP,40,male,challenger,35
T3_Right,R_0JaWr1EUvu52onL,2,2,1,disagree,approve,refuse,not improve,LDP,40,male,challenger,35
T3_Right,R_0JaWr1EUvu52onL,3,1,0,agree,approve,accept,not improve,CDP,60,female,incumbent,35
T3_Right,R_0JaWr1EUvu52onL,3,2,1,agree,deny,refuse,not improve,LDP,60,female,incumbent,35
T3_Right,R_0JaWr1EUvu52onL,4,1,1,agree,deny,refuse,improve,CDP,60,female,challenger,35
T3_Right,R_0JaWr1EUvu52onL,4,2,0,agree,deny,refuse,not improve,CDP,60,female,challenger,35
T3_Right,R_0JaWr1EUvu52onL,5,1,0,disagree,approve,accept,not improve,CDP,60,female,incumbent,35
T3_Right,R_0JaWr1EUvu52onL,5,2,1,agree,deny,refuse,improve,CDP,60,female,incumbent,35
T3_Right,R_0k8HCvEigH0QNDH,1,1,0,disagree,approve,refuse,not improve,CDP,60,male,incumbent,30
T3_Right,R_0k8HCvEigH0QNDH,1,2,1,disagree,deny,accept,improve,Komeito,60,male,incumbent,30
T3_Right,R_0k8HCvEigH0QNDH,2,1,1,disagree,deny,refuse,improve,Komeito,30,female,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,2,2,0,agree,approve,refuse,improve,JCP,30,female,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,3,1,0,disagree,deny,accept,not improve,JCP,30,male,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,3,2,1,disagree,approve,refuse,improve,Komeito,30,male,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,4,1,0,disagree,deny,refuse,improve,Komeito,30,female,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,4,2,1,disagree,approve,accept,not improve,LDP,30,female,challenger,30
T3_Right,R_0k8HCvEigH0QNDH,5,1,1,disagree,approve,refuse,not improve,LDP,70,male,incumbent,30
T3_Right,R_0k8HCvEigH0QNDH,5,2,0,disagree,deny,accept,not improve,JCP,70,male,incumbent,30
T3_Left,R_0MWXdr9wJ6vHXTb,1,1,0,disagree,deny,refuse,improve,CDP,30,female,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,1,2,1,disagree,deny,refuse,not improve,LDP,30,female,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,2,1,0,agree,deny,accept,not improve,CDP,30,male,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,2,2,1,agree,approve,accept,not improve,Komeito,30,male,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,3,1,0,agree,approve,accept,improve,JCP,70,male,challenger,70
T3_Left,R_0MWXdr9wJ6vHXTb,3,2,1,disagree,approve,refuse,improve,CDP,70,male,challenger,70
T3_Left,R_0MWXdr9wJ6vHXTb,4,1,1,disagree,approve,accept,not improve,LDP,70,male,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,4,2,0,disagree,approve,accept,improve,CDP,70,male,incumbent,70
T3_Left,R_0MWXdr9wJ6vHXTb,5,1,0,disagree,approve,refuse,improve,JCP,30,female,challenger,70
T3_Left,R_0MWXdr9wJ6vHXTb,5,2,1,disagree,deny,refuse,not improve,LDP,30,female,challenger,70
T3_Left,R_0N6Xb9vt5uiU3cd,1,1,1,agree,deny,refuse,not improve,LDP,40,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,1,2,0,disagree,deny,accept,not improve,LDP,40,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,2,1,1,agree,deny,refuse,improve,CDP,50,female,challenger,58
T3_Left,R_0N6Xb9vt5uiU3cd,2,2,0,agree,approve,refuse,improve,JCP,50,female,challenger,58
T3_Left,R_0N6Xb9vt5uiU3cd,3,1,1,agree,deny,accept,not improve,LDP,30,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,3,2,0,agree,deny,accept,not improve,CDP,30,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,4,1,1,disagree,approve,accept,not improve,CDP,60,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,4,2,0,agree,approve,refuse,not improve,Komeito,60,male,incumbent,58
T3_Left,R_0N6Xb9vt5uiU3cd,5,1,1,disagree,approve,refuse,not improve,JCP,40,male,challenger,58
T3_Left,R_0N6Xb9vt5uiU3cd,5,2,0,agree,deny,accept,not improve,JCP,40,male,challenger,58
T2_Right,R_0O0EhuNxqeEV49H,1,1,0,agree,deny,refuse,not improve,Komeito,50,male,challenger,0
T2_Right,R_0O0EhuNxqeEV49H,1,2,1,agree,deny,accept,not improve,Komeito,50,male,challenger,0
T2_Right,R_0O0EhuNxqeEV49H,2,1,1,agree,approve,accept,improve,LDP,70,female,incumbent,0
T2_Right,R_0O0EhuNxqeEV49H,2,2,0,disagree,approve,accept,not improve,Komeito,70,female,incumbent,0
T2_Right,R_0O0EhuNxqeEV49H,3,1,1,agree,deny,refuse,improve,CDP,60,male,incumbent,0
T2_Right,R_0O0EhuNxqeEV49H,3,2,0,disagree,approve,accept,improve,CDP,60,male,incumbent,0
T2_Right,R_0O0EhuNxqeEV49H,4,1,0,disagree,approve,refuse,not improve,LDP,50,female,challenger,0
T2_Right,R_0O0EhuNxqeEV49H,4,2,1,agree,deny,accept,not improve,JCP,50,female,challenger,0
T2_Right,R_0O0EhuNxqeEV49H,5,1,1,disagree,deny,accept,improve,LDP,30,male,challenger,0
T2_Right,R_0O0EhuNxqeEV49H,5,2,0,agree,deny,accept,improve,Komeito,30,male,challenger,0
T3,R_0ocxZk7tujUgIFz,1,1,0,agree,approve,refuse,not improve,JCP,70,female,challenger,50
T3,R_0ocxZk7tujUgIFz,1,2,1,agree,deny,refuse,not improve,Komeito,70,female,challenger,50
T3,R_0ocxZk7tujUgIFz,2,1,0,agree,approve,accept,improve,JCP,60,female,challenger,50
T3,R_0ocxZk7tujUgIFz,2,2,1,agree,approve,accept,not improve,Komeito,60,female,challenger,50
T3,R_0ocxZk7tujUgIFz,3,1,1,disagree,deny,refuse,improve,JCP,30,male,incumbent,50
